127.0.0.1, 2018-07-05 19:05:18, GET, /MAT3D/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-07-05 19:05:18, GET, /MAT3D/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 19:05:18, GET, /MAT3D/static/js/vue.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 19:05:18, GET, /MAT3D/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:05:18, GET, /MAT3D/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:18, GET, /MAT3D/static/js/default_index.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-07-05 19:05:18, GET, /MAT3D/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-07-05 19:05:18, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/css/stupid.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/js/vue.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/js/default_index.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/js/marked.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/css/mat3d.css, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-07-05 19:05:32, GET, /MAT3D/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/css/web2py.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/js/vue.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/js/default_index.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/js/marked.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/css/mat3d.css, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-07-05 19:05:39, GET, /MAT3D/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:05:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/default/index, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/css/stupid.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/css/web2py.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/css/mat3d.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/js/vue.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/js/default_index.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/js/marked.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/js/vue.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-05 19:06:24, GET, /MAT3D/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:06:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/css/mat3d.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/js/vue.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/js/default_index.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/js/marked.min.js, HTTP/1.1, 200, 0.001000
